repo_url,schema_name,helm_name,crd_path,crd_last_sha,crd_last_updated
https://github.com/ceph/ceph-csi,csi.ceph.io,ceph-csi,api,5300b8b22139cf49220737b69e0bd250f27617cd,2026-02-17T13:16:55Z
https://github.com/dapr/dapr,dapr.io,dapr,charts/dapr/crds,ff68dbd870f253057e2e3ec43598755c5bc44e62,2026-02-20T19:04:34Z
https://github.com/spotahome/redis-operator,databases.spotahome.com,redis,charts/redisoperator/crds,25e69ef986d71928585e3a53b01d6f58b719bcce,2023-07-06T07:48:37Z
https://github.com/DataDog/datadog-operator,datadoghq.com,datadog,config/crd/bases/v1,6fbf32749eb2576e898df9ea32efebce24cdb47c,2026-03-09T13:31:37Z
https://github.com/Azure/azure-service-operator,datafactory.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,dataprotection.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/ariga/atlas-operator,db.atlasgo.io,atlas,config/crd/bases,1d9924d19af2ac86e32555b21bb01f439eba50f2,2026-01-11T12:48:00Z
https://github.com/Azure/azure-service-operator,dbformariadb.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,dbformysql.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,dbforpostgresql.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,devices.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/dexidp/dex,dex.coreos.com,dex,scripts/manifests/crds,7a2472555a0ba6f609f41aea43bec3b61a9ef8af,2021-06-10T16:00:49Z
https://github.com/aws/eks-anywhere,distro.eks.amazonaws.com,eks-anywhere,config/crd/bases,b38f93e2c9df6b85d49a886ba8f04b26f3af3119,2026-02-20T21:44:29Z
https://github.com/Azure/azure-service-operator,documentdb.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/dragonflydb/dragonfly-operator,dragonflydb.io,dragonfly,config/crd/bases,839b8973e3b37d52192fa49e32cf1bb72abf5c56,2026-02-27T07:35:15Z
https://github.com/datainfrahq/druid-operator,druid.apache.org,druid,config/crd/bases,8da631fa87093e4f64aa0f6b88cacffbaaf17e4c,2026-02-22T13:24:18Z
https://github.com/aws-controllers-k8s/dynamodb-controller,dynamodb.services.k8s.aws,ack-dynamodb,config/crd/bases,67184efdfaf30463af81e2cb8077eb7fd6d51802,2025-11-13T02:23:27Z
https://github.com/Dynatrace/dynatrace-operator,dynatrace.com,dynatrace,config/crd/bases,538b17def3e7b731741468952024e3808eaa260a,2026-03-03T15:04:51Z
